C Id Isin;Consolidated;Fund Code;Fund name;Date Nav;Code Share;Outstanding;Nav Net;Quantity Outstanding;Price Share;NAV PREC;AGE_VAR_NAV PERC;P SHARE IN ITL;C Ccy;H Valid;ZWIST J;A Actual Zwist;C N Id;Income Equalization (code 1 or 2 or 3)
IE0005380518;DB3012;DB3019;EMERGING MARKETS COLLECTION;20-SEP-2021;LCA;476295674.29;571720516.93;36023450.510;13.222;13.207;0.;;EUR;0920161343;;;54258000000;1
IE0009624234;DB3012;DB3019;EMERGING MARKETS COLLECTION;20-SEP-2021;SCA;95424842.64;571720516.93;4579410.815;20.838;20.818;0.;;EUR;0920161343;;;54259000000;1
IE0004479642;DB8810;DB3784;CHALLENGE HEALTHCARE EQUITY EVO;20-SEP-2021;LCA;563682936.83;587440866.21;83465190.863;6.754;6.73;0.;;EUR;0920154019;;;52034000000;1
IE0004480194;DB8810;DB3784;CHALLENGE HEALTHCARE EQUITY EVO;20-SEP-2021;SCA;23757929.38;587440866.21;1744898.434;13.616;13.569;0.;;EUR;0920154019;;;52037000000;1
IE00BLDGBM04;DB3012;DB6484;GLOBAL DEMOGRAPHIC OPPORTUNITIES;20-SEP-2021;LCA;267169508.50;306291575.69;41677716.008;6.41;6.419;-0.;;EUR;0920132016;;;854591000000;1
IE00BLDGBN11;DB3012;DB6484;GLOBAL DEMOGRAPHIC OPPORTUNITIES;20-SEP-2021;LHC;39122067.19;306291575.69;6121589.331;6.391;6.407;-0.;;EUR;0920132016;;;854613000000;1
LU0795251544;LU560C;LU5606;SPEC SICAV SIF - DIVERSIFIED MULTI ASSET;20-SEP-2021;B;45250121.43;45250121.43;10670683.427;4.241;4.246;-0.;;EUR;0920134343;;;437221000000;1
IE00BCZNHK63;DB3012;DB5555;SOCIALLY RESPONSIBLE COLLECTION;20-SEP-2021;LCA;131696654.30;246042650.71;20767889.592;6.341;6.356;-0.;;EUR;0920145912;;;779194000000;1
IE00BCZNHL70;DB3012;DB5555;SOCIALLY RESPONSIBLE COLLECTION;20-SEP-2021;LHC;59824795.08;246042650.71;9481593.211;6.31;6.326;-0.;;EUR;0920145912;;;779197000000;1
IE00BCZNHM87;DB3012;DB5555;SOCIALLY RESPONSIBLE COLLECTION;20-SEP-2021;SCA;34258301.38;246042650.71;2745677.100;12.477;12.511;-0.;;EUR;0920145912;;;779195000000;1
IE00BCZNHN94;DB3012;DB5555;SOCIALLY RESPONSIBLE COLLECTION;20-SEP-2021;SHC;20262899.95;246042650.71;1638870.611;12.364;12.397;-0.;;EUR;0920145912;;;779201000000;1
IE00BVL88F07;DB3012;DB6215;EQUILIBRIUM;20-SEP-2021;LCA;46873451.47;210765068.99;9050025.193;5.179;5.185;-0.;;EUR;0920174109;;;908709000000;1
IE00BVL88G14;DB3012;DB6215;EQUILIBRIUM;20-SEP-2021;LDI;12357793.30;210765068.99;2633244.661;4.693;4.698;-0.;;EUR;0920174109;;;908712000000;1
IE00BVL88J45;DB3012;DB6215;EQUILIBRIUM;20-SEP-2021;LHC;36241324.36;210765068.99;7178283.702;5.049;5.056;-0.;;EUR;0920174109;;;908713000000;1
IE00BVL88H21;DB3012;DB6215;EQUILIBRIUM;20-SEP-2021;LHD;13978793.33;210765068.99;3061078.011;4.567;4.573;-0.;;EUR;0920174109;;;908714000000;1
IE00BVL88K59;DB3012;DB6215;EQUILIBRIUM;20-SEP-2021;SCA;15083752.83;210765068.99;1474908.545;10.227;10.238;-0.;;EUR;0920174109;;;908715000000;1
IE00BVL88L66;DB3012;DB6215;EQUILIBRIUM;20-SEP-2021;SDI;24291945.62;210765068.99;2624509.591;9.256;9.266;-0.;;EUR;0920174109;;;908717000000;1
IE00BVL88N80;DB3012;DB6215;EQUILIBRIUM;20-SEP-2021;SHC;20462378.32;210765068.99;2053949.537;9.962;9.977;-0.;;EUR;0920174109;;;908718000000;1
IE00BVL88M73;DB3012;DB6215;EQUILIBRIUM;20-SEP-2021;SHD;41475629.76;210765068.99;4600753.779;9.015;9.029;-0.;;EUR;0920174109;;;908719000000;1
IE00BYZ2Y955;DB3012;DB6342;DYNAMIC INTERNATIONAL VALUE OPPORTUNITY;20-SEP-2021;LCA;585924370.01;1090781281.27;94508975.724;6.2;6.23;-0.;;EUR;0920174141;;;244210000000;1
