Fund Code;Manager No;Date;Fund;Manager;Market Value;AccCode;Account;Category;Manager Code;PtfCcy  Code;ptfCcy Rate;PtfCcy Market Value; % of Total  Value (EUR)
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-0.01;295506;Perf. Fee Crystallised LDI;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-0.01;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;0.01;295507;Perf. Fee Crystallised LHC;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;0.01;0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-0.02;295510;Perf. Fee Crystallised LHD;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-0.02;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-0.02;295511;Perf. Fee Crystallised SCA;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-0.02;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-1605.98;263534;Global Fund Platform fee;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-1605.98;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-532.12;263535;Global Fund Platform fee;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-532.12;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-14.23;264098;General Budget;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-14.23;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-4.71;264099;General Budget;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-4.71;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-3176.89;264120;Custodian Fee;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-3176.89;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-12986.53;264121;Custodian Fee;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-12986.53;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-719.53;264130;Administrative Agency Fee;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-719.53;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-2337.59;264131;Administrative Agency Fee;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-2337.59;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-766.35;264135;Transfer Agency Fee;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-766.35;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-3429.29;264136;Transfer Agency Fee;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-3429.29;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-18.77;264140;Paying Agent Fee;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-18.77;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-56.69;264141;Paying Agent Fee;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-56.69;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-127146.92;264227;Management Fees LH;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-127146.92;-0.03
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-102554.27;264262;Management Fees SH;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-102554.27;-0.02
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-1890.20;264346;Trustee Fee;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-1890.20;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-8517.86;264367;Trustee Fee;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-8517.86;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-54.02;264369;Provision for Valuation fee;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-54.02;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-11436.73;264383;Risk and Control Fee;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-11436.73;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-246991.16;264426;Manag fee Class L;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-246991.16;-0.06
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-131989.00;264427;Management fee Class S;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-131989.00;-0.03
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-467.55;264461;Fiscal Fee;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-467.55;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-154.92;264521;Fiscal Fee;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-154.92;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-187.79;264619;Translation fees;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-187.79;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-566.77;264620;Translation fees;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-566.77;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-498.08;264808;Cash Management S;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-498.08;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-1097.74;264809;Cash Management L;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-1097.74;-0.00
DB2015;0;20/09/2021;INFRASTRUCTURE OPPORTUNITY COLLECTION;INFRASTRUCTURE OPPORTUNITY COLLECTION;-28390.09;264811;Investment Management Fee S;3. Cash and Cash in Settlement;DB2015/0;EUR;1.000000;-28390.09;-0.01
