Fund Custody Code;External Fund Identifier;PTG Name;Trade Date;Settlement Date;Maturity Date;Transaction ID;Fund Manager Reference;Transaction Type;Transaction Description;Reversal Flag;Security Name;Collateral Counterparty Name;ISIN Code;Security Description;Quantity;Currency;Price;Gross Amount;Interest;Brokerage;Tax;Expenses;Net Amount;Buy Currency;Purchase Amount;Sell Currency;Sold Amount;FX Rate;Deposit Amount;Deposit Rate;No. of Days;Collateral Counterparty BIC Code;Fund Manager BIC Code;Bloomberg Code
18077;17169Z5921873COLIN;EQUILIBRIUM/18008/MSTANLEY/COL OTC;28/04/2017;02/05/2017;;018077SE00106000;TRANSACTION REF GT5YDBJ2213JP9;SE;CASH WITHDRAWAL;N;;MORGAN STANLEY AND CO. INTL PLC;;;0;EUR;0;0;0;0;0;0;-480000;;0;;0;0;0;0;0;MSLNGB2X;;
18077;17169Z5921873COLIN;EQUILIBRIUM/18008/MSTANLEY/COL OTC;02/05/2017;02/05/2017;;018077EE00108000;SWIFT MT210 20170502;EE;CASH DIRECT ENTRY;N;;MORGAN STANLEY AND CO. INTL PLC;;;0;EUR;0;0;0;0;0;0;260000;;0;;0;0;0;0;0;MSLNGB2X;;
18077;17169Z5921873COLIN;EQUILIBRIUM/18008/MSTANLEY/COL OTC;02/05/2017;02/05/2017;;018008TP00134000;ARRETE DE COMPTE;TP;CASH TRANSFER BETWEEN PORTFOLIOS;N;;MORGAN STANLEY AND CO. INTL PLC;;;0;EUR;0;0;0;0;0;0;692.55;;0;;0;0;0;0;0;MSLNGB2X;;
19561;15165Z5908260COLIN;EUROPEAN COLLECTION - COLLAT - MLI;03/05/2017;04/05/2017;;019561EE00002000;SWBC 4404179-3324039;EE;CASH DIRECT ENTRY;N;;MERRILL LYNCH INTERNATIONAL;;;0;EUR;0;0;0;0;0;0;260000;;0;;0;0;0;0;0;MLILGB3L;;
16265;16148Z5908260COLIN;INFRAST OPP COLLECTION COLLATERAL;02/05/2017;03/05/2017;;016265EE00016000;SWBC 4402138-3322085;EE;CASH DIRECT ENTRY;N;;RBC INVESTOR SERVICES BANK S.A.;;;0;EUR;0;0;0;0;0;0;1950000;;0;;0;0;0;0;0;FETALULL;;
16457;16330Z5908260COLIN;SOCIALLY RESPONSIBLE COLLECTION COL;02/05/2017;03/05/2017;;016457EE00004000;SWBC 4402207-3322080;EE;CASH DIRECT ENTRY;N;;;;;0;EUR;0;0;0;0;0;0;590000;;0;;0;0;0;0;0;;;
15211;15162Z5908260COLIN;EQUITY POWER COUPON COLLECT COLLAT;02/05/2017;03/05/2017;;015211EE00006000;SWBC 4402092-3322095;EE;CASH DIRECT ENTRY;N;;RBC INVESTOR SERVICES BANK S.A.;;;0;EUR;0;0;0;0;0;0;820000;;0;;0;0;0;0;0;FETALULL;;
15215;15164Z5908260COLIN;GLOBAL TECH COLLECTION COLLATERAL;02/05/2017;03/05/2017;;015215EE00004000;SWBC 4402116-3322086;EE;CASH DIRECT ENTRY;N;;RBC INVESTOR SERVICES BANK S.A.;;;0;EUR;0;0;0;0;0;0;520000;;0;;0;0;0;0;0;FETALULL;;
15223;19050Z5908260COLIN;CHALLENGE INTL EQUITY COLLATERAL;02/05/2017;03/05/2017;;015223EE00010000;SWBC 4402231-3322074;EE;CASH DIRECT ENTRY;N;;RBC INVESTOR SERVICES BANK S.A.;;;0;EUR;0;0;0;0;0;0;1180000;;0;;0;0;0;0;0;FETALULL;;
19804;19045Z5908260COLIN;CH COUNTER CYCLICAL MAML-COLL-MLI;03/05/2017;04/05/2017;;019804EE00004000;SWBC 4404209-3324023;EE;CASH DIRECT ENTRY;N;;MERRILL LYNCH INTERNATIONAL;;;0;EUR;0;0;0;0;0;0;270000;;0;;0;0;0;0;0;MLILGB3L;;
