Fund Custody Code;External Fund Identifier;Fund Name;Trade Date;Settlement Date;Transaction ID;Fund Manager Reference;Transaction Type;Transaction Description;Reversal Flag;Security Name;Broker Name;ISIN Code;Security Description;Quantity;Currency;Price;Gross Amount;Brokerage;Tax;Expenses;Net Amount;Broker BIC Code;Fund Manager BIC Code;Bloomberg Code
1510;DB3787Z9173803;CHALLENGE FINANCIAL FD;18052016;23052016;001510ATB1893000;SWIFT#03820300178390A;AT;SECURITIES PURCHASE;N;CME GROUP INC;UBS AG STAMFORD BRANCH;US12572Q1058;EQUITIES;805.000000;USD;96.790000;77915.95;2.42;0.00;0.00;77918.37;UBSWUS33;BGIAGB2L;
17996;DB6214Z5921874;FINANCIAL INCOME STRATEGY 1;18052016;20052016;017996VT00278000;SWIFT#CON437755-1-1;VT;SECURITIES SELL;N;ABN AMRO GROUP N.V.;UBS LIMITED;NL0011540547;EQUITIES;-27580.000000;EUR;17.273900;-476414.16;714.62;0.00;0.00;-475699.54;UBSWGB24;;
17996;DB6214Z5921874;FINANCIAL INCOME STRATEGY 1;18052016;20052016;017996VT00279000;SWIFT#CON437758-1-1;VT;SECURITIES SELL;N;ABN AMRO GROUP N.V.;MERRILL LYNCH INTERNATIONAL;NL0011540547;EQUITIES;-48548.000000;EUR;17.352400;-842427.71;1263.64;0.00;0.00;-841164.07;MLILGB3LESF;;
18001;DB6215Z9163418;EQUILIBRIUM 2;17052016;20052016;018001VT01146000;SWIFT#1J565V0VXI70100;VT;SECURITIES SELL;N;EXTRA SPACE STORAGE INC;CITIGROUP GLOBAL MARKETS INC;US30225T1025;EQUITIES;-1022.000000;USD;92.240000;-94269.28;20.44;0.00;0.00;-94246.78;SBSIUS33;;
18001;DB6215Z9163418;EQUILIBRIUM 2;18052016;23052016;018001VT01147000;SWIFT#1J565V0XSSVH000;VT;SECURITIES SELL;N;TUPRAS TURKIYE PETROL RAFINEL;DEUTSCHE BANK AG;TRATUPRS91E8;EQUITIES;-1129.000000;TRY;64.315000;-72611.64;36.31;0.00;0.00;-72575.33;DEUTGB22EEQ;;
629;DB8816Z9397076;CHALLENGE EMERGING MARKET EQUITY;18052016;23052016;000629ATA8711000;SWIFT#FYQ7335/5492270;AT;SECURITIES PURCHASE;N;JD.COM INC /ADR;CREDIT SUISSE SECURITIES (USA) LLC;US47215P1066;EQUITIES;5100.000000;USD;23.638700;120557.37;36.17;0.00;0.00;120593.54;CSFBUS33;LGIMGB2L;
629;DB8816Z9397076;CHALLENGE EMERGING MARKET EQUITY;18052016;23052016;000629ATA8713000;SWIFT#FYQ7591/5492291;AT;SECURITIES PURCHASE;N;BAIDU INC -A-/ADR;CREDIT SUISSE SECURITIES (USA) LLC;US0567521085;EQUITIES;770.000000;USD;169.099600;130206.69;39.06;0.00;0.00;130245.75;CSFBUS33;LGIMGB2L;
629;DB8816Z9397076;CHALLENGE EMERGING MARKET EQUITY;18052016;23052016;000629ATA8714000;SWIFT#FYQ7628/5492299;AT;SECURITIES PURCHASE;N;ALIBABA GROUP HOLDING LTD /ADR;CREDIT SUISSE SECURITIES (USA) LLC;US01609W1027;EQUITIES;1550.000000;USD;79.034900;122504.10;36.75;0.00;0.00;122540.85;CSFBUS33;LGIMGB2L;
629;DB8816Z9397076;CHALLENGE EMERGING MARKET EQUITY;18052016;23052016;000629VTA7662000;SWIFT#FYQ7674/5492307;VT;SECURITIES SELL;N;SOUTHERN COPPER CORP;CREDIT SUISSE SECURITIES (USA) LLC;US84265V1052;EQUITIES;-3300.000000;USD;26.987500;-89058.75;26.72;0.00;0.00;-89030.08;CSFBUS33;LGIMGB2L;
629;DB8816Z9397076;CHALLENGE EMERGING MARKET EQUITY;13052016;18052016;000629VTA7660000;SWIFT#FYO7562/5484846;VT;SECURITIES SELL;N;BANCOLOMBIA SA/DEMATERIALIZED;CITITRUST;COB07PA00086;EQUITIES;-5037.000000;COP;27120.000000;-136603440.00;204905.16;0.00;0.00;-136398534.84;CITIUS33COR;LGIMGB2L;
