Consolidated Fund Code;Fund Code;External Fund Identifier;Fund Name;Fund Ccy;Manager Code;Counterparty/Broker Code ;Counterparty/Broker Description;GTI Code;GTI Description;Option Type;Option description;Option RBCDIS Code;Option Ccy;Option Strike;Contract Size;Contract Number;Trade Date;NAV Date;Transaction Value Date;Quantity;Premium;Trade Amount;Commission Amount;Fees Amount in Transaction Currency;Transaction Status Code;Transaction Code;Contract Status;Broker Code;Broker Name;Style;Bloomberg Code;Fusion Ref.;Underlying Asset;BIC Code;Buy/Sell;Fund Manager BIC Code
DB8810;DB8814;DB881400;CHALLENGE PACIFIC EQUITY FUND;EUR;0;20009;RBC IS Bank Luxbg;603;OPTIONS ON STOCK INDICES;C;Purchase option ~ 29850000 CALL 3M USDEM BASKET 31/03/2016 1.0 DB8814;968150500001;USD;1;1;12;01122015;04122015;01122015;        -29850000.00;                0.0030;           -89550.00;;;30;300;1;597013;MAML;European;;;3M USDEM BASKET;;Sell;
DB8810;DB8814;DB881400;CHALLENGE PACIFIC EQUITY FUND;EUR;0;20009;RBC IS Bank Luxbg;603;OPTIONS ON STOCK INDICES;C;Purchase option ~ 29850000 CALL 3M USDEM BASKET 31/03/2016 1.0 DB8814;968150500001;USD;1;1;12;01122015;02122015;01122015;         29850000.00;                0.0030;            89550.00;;;20;300;1;597013;MAML;European;;;3M USDEM BASKET;;Buy;
DB3012;DB4213;DB4213Z5967749;EURO FIXED INCOME;EUR;42133;776514;JP MORGAN SEC FUTURES AND OPTIONS;607;OPTIONS ON FUTURES;P;Closing purchase option ~ 34 PUT FUT-EURO-BUND-MAR16 23/12/2015 158.0 DB4213;980833500000;EUR;158;1000;32;15122015;16122015;15122015;              -34.00;                0.7200;           -24480.00;;;20;306;3;776514;JP MORGAN SEC FUTURES AND OPTIONS;American;RXF6P 158 Comdty;;EURO BUND;;Sell;
DB3012;DB4213;DB4213Z5967749;EURO FIXED INCOME;EUR;42133;776514;JP MORGAN SEC FUTURES AND OPTIONS;607;OPTIONS ON FUTURES;P;Closing purchase option ~ 30 PUT FUT-EURO-BUND-MAR16 23/12/2015 155.5 DB4213;980833500003;EUR;155.5;1000;28;27112015;01122015;27112015;              -30.00;                0.1000;            -3000.00;;;20;306;3;776514;JP MORGAN SEC FUTURES AND OPTIONS;American;RXF6P 155.5 Comdty;;EURO BUND;;Sell;
DB3012;DB4213;DB4213Z5967749;EURO FIXED INCOME;EUR;42133;776514;JP MORGAN SEC FUTURES AND OPTIONS;607;OPTIONS ON FUTURES;P;Purchase option ~ 69 PUT FUT-EURO-BUND-MAR16 23/12/2015 158.0 DB4213;980833500000;EUR;158;1000;32;11122015;14122015;11122015;               69.00;                0.2500;            17250.00;;;20;300;1;776514;JP MORGAN SEC FUTURES AND OPTIONS;American;RXF6P 158 Comdty;;EURO BUND;;Buy;
DB3012;DB4213;DB4213Z5967749;EURO FIXED INCOME;EUR;42133;776514;JP MORGAN SEC FUTURES AND OPTIONS;607;OPTIONS ON FUTURES;P;Closing purchase option ~ 60 PUT FUT-EURO-BUND-MAR16 23/12/2015 158.0 DB4213;980833500000;EUR;158;1000;30;04122015;07122015;04122015;              -60.00;                1.3600;           -81600.00;;;20;306;3;776514;JP MORGAN SEC FUTURES AND OPTIONS;American;RXF6P 158 Comdty;;EURO BUND;;Sell;
DB3012;DB4213;DB4213Z5967749;EURO FIXED INCOME;EUR;42133;776514;JP MORGAN SEC FUTURES AND OPTIONS;607;OPTIONS ON FUTURES;P;Closing purchase option ~ 60 PUT FUT-EURO-BUND-MAR16 23/12/2015 158.0 DB4213;980833500000;EUR;158;1000;29;04122015;07122015;04122015;              -60.00;                1.1200;           -67200.00;;;20;306;3;776514;JP MORGAN SEC FUTURES AND OPTIONS;American;RXF6P 158 Comdty;;EURO BUND;;Sell;
DB3012;DB4213;DB4213Z5967749;EURO FIXED INCOME;EUR;42133;776514;JP MORGAN SEC FUTURES AND OPTIONS;607;OPTIONS ON FUTURES;P;Closing purchase option ~ 30 PUT FUT-EURO-BUND-MAR16 23/12/2015 155.5 DB4213;980833500003;EUR;155.5;1000;28;27112015;01122015;27112015;              -30.00;                0.1100;            -3300.00;;;20;306;3;776514;JP MORGAN SEC FUTURES AND OPTIONS;American;RXF6P 155.5 Comdty;;EURO BUND;;Sell;
DB3012;DB6214;DB6214Z5921874;FINANCIAL INCOME STRATEGY;EUR;657375;776514;JP MORGAN SEC FUTURES AND OPTIONS;603;OPTIONS ON STOCK INDICES;P;Purchase option ~ 39 PUT S&P 500 INDICES 18/03/2016 2000.0 DB6214;66503502650;USD;2000;100;16;03122015;04122015;03122015;               39.00;               55.9000;           218010.00;;;20;300;1;776514;JP MORGAN SEC FUTURES AND OPTIONS;European;SPX US 03/18/16 P2000 Index;;S&P 500 INDICES;;Buy;
DB3012;DB4213;DB4213Z5967749;EURO FIXED INCOME;EUR;42133;776514;JP MORGAN SEC FUTURES AND OPTIONS;607;OPTIONS ON FUTURES;P;Closing purchase option ~ 35 PUT FUT-EURO-BUND-MAR16 23/12/2015 158.0 DB4213;980833500000;EUR;158;1000;32;15122015;16122015;15122015;              -35.00;                0.7100;           -24850.00;;;20;306;3;776514;JP MORGAN SEC FUTURES AND OPTIONS;American;RXF6P 158 Comdty;;EURO BUND;;Sell;
