Legal Entity;COS Id;Entity Code;Share Class;Base Currency;Client Name;Basic Contract # /Account #;Fixed Currency;Counter Currency;Direction;Instrument Type;Trade Date;Maturity Date;Fixed Amount;Client Spot Rate;Client All-In Points;Client All-In Rate;Contra Amount;Status;Mandated Execution Time;External Fund Identifier;Fees Currency;Fees In Amount
Bank;2.016E+13;DB2381;LHC;EUR;MIFL;20024444;GBP;EUR;Buy;Forward;24/05/2016;31/05/2016;1871200.44;0.76395;0;0.76395;2449375.54;Executed;17:00;DB2381Z8730528;EUR;0
Bank;2.016E+13;DB2381;LHC;EUR;MIFL;20024444;GBP;EUR;Sell;Forward;24/05/2016;30/06/2016;1871200.44;0.76395;6.2;0.764665;2447085.25;Executed;17:00;DB2381Z8730528;EUR;304.55
Bank;2.016E+13;DB2381;LHC;EUR;MIFL;20024444;JPY;EUR;Buy;Forward;24/05/2016;31/05/2016;210353643;122.63715;0;122.63715;1715252.21;Executed;17:00;DB2381Z8730528;EUR;0
Bank;2.016E+13;DB2381;LHC;EUR;MIFL;20024444;JPY;EUR;Sell;Forward;24/05/2016;30/06/2016;210353643;122.63715;3;122.68245;1714618.86;Executed;17:00;DB2381Z8730528;EUR;213.97
Bank;2.016E+13;DB2381;LHC;EUR;MIFL;20024444;USD;EUR;Buy;Forward;24/05/2016;31/05/2016;20434487.05;1.11605;0;1.11605;18309651.94;Executed;17:00;DB2381Z8730528;EUR;0
Bank;2.016E+13;DB2381;LHC;EUR;MIFL;20024444;USD;EUR;Sell;Forward;24/05/2016;30/06/2016;20434487.05;1.11605;10.34;1.117224;18290411.82;Executed;17:00;DB2381Z8730528;EUR;2296.52
Bank;2.016E+13;DB2381;SHC;EUR;MIFL;20024445;GBP;EUR;Buy;Forward;24/05/2016;31/05/2016;1457602.13;0.76395;0;0.76395;1907981.06;Executed;17:00;DB2381Z8730529;EUR;0
Bank;2.016E+13;DB2381;SHC;EUR;MIFL;20024445;GBP;EUR;Sell;Forward;24/05/2016;30/06/2016;1457602.13;0.76395;6.2;0.764665;1906197;Executed;17:00;DB2381Z8730529;EUR;237.23
Bank;2.016E+13;DB2381;SHC;EUR;MIFL;20024445;JPY;EUR;Buy;Forward;24/05/2016;31/05/2016;163534573;122.63715;0;122.63715;1333483.15;Executed;17:00;DB2381Z8730529;EUR;0
Bank;2.016E+13;DB2381;SHC;EUR;MIFL;20024445;JPY;EUR;Sell;Forward;24/05/2016;30/06/2016;163534573;122.63715;3;122.68245;1332990.77;Executed;17:00;DB2381Z8730529;EUR;166.34
Bank;2.016E+13;DB2381;SHC;EUR;MIFL;20024445;USD;EUR;Buy;Forward;24/05/2016;31/05/2016;15950810.21;1.11605;0;1.11605;14292200.36;Executed;17:00;DB2381Z8730529;EUR;0
Bank;2.016E+13;DB2381;SHC;EUR;MIFL;20024445;USD;EUR;Sell;Forward;24/05/2016;30/06/2016;15950810.21;1.11605;10.34;1.117224;14277181.84;Executed;17:00;DB2381Z8730529;EUR;1792.62
