Fund Custody Code / SARA code;CashFlow Type Id;CashFlow Type Description;Account Currency(ISO);Confirmed Amount Local ccy;Confirmed Amount Fund ccy;Projected Amount Local ccy;Projected Amount Fund ccy;Trade Date;Creation Date;Settlement Date;ReportDate;MF code;Fund Manager Identifier;Fund Administration Code;Fund name;External Fund Reference
10;TA;SHS Net Inflow/Outflow;EUR;-42196.04;-42196.04;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB8812;Z8719429;LCA;CHALLENGE NORTH AMERICAN EQUITY L FUND A RETAIL CLASS;DB8812Z8719429
12;TA;SHS Net Inflow/Outflow;EUR;160662.13;160662.13;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB8813;Z8719429;LCA;CHALLENGE EUROPEAN EQUITY L FUND A RETAIL CLASS;DB8813Z8719429
14;TA;SHS Net Inflow/Outflow;EUR;-12516.52;-12516.52;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB8814;Z8719429;LCA;CHALLENGE PACIFIC EQUITY L FUND A RETAIL CLASS;DB8814Z8719429
16;TA;SHS Net Inflow/Outflow;EUR;124739.89;124739.89;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB8815;Z8719429;LCA;CHALLENGE ITALIAN EQUITY L FUND A RETAIL CLASS;DB8815Z8997924
18;TA;SHS Net Inflow/Outflow;EUR;25554.6;25554.6;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB8816;Z8719429;LCA;CHALLENGE EMERGING MARKETS EQUITY L FUND A RETAIL CLASS;DB8816Z8719429
22;TA;SHS Net Inflow/Outflow;EUR;4490.8;4490.8;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB8818;Z8719429;LCA;CHALLENGE EUROPEAN BOND L FUND A RETAIL CLASS;DB8818Z9397076
23;TA;SHS Net Inflow/Outflow;EUR;29970;29970;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB8818;Z8719429;LDI;CHALLENGE EUROPEAN BOND L FUND B RETAIL CLASS;DB8818Z9397076
24;TA;SHS Net Inflow/Outflow;EUR;112296.79;112296.79;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB8819;Z8719429;LCA;CHALLENGE LIQUIDITY EURO L FUND A RETAIL CLASS;DB8819Z8719429
26;TA;SHS Net Inflow/Outflow;EUR;-13701.83;-13701.83;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB8820;Z8719429;LCA;CHALLENGE EUROPEAN INCOME L FUND A RETAIL CLASS;DB8820Z9397076
27;TA;SHS Net Inflow/Outflow;EUR;-5441.58;-5441.58;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB8820;Z8719429;LDI;CHALLENGE EUROPEAN INCOME L FUND B RETAIL CLASS;DB8820Z9397076
28;TA;SHS Net Inflow/Outflow;EUR;-374843;-374843;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB5199;Z8719429;LHC;CHALLENGE INTERNATIONAL INCOME  HEDGED L FUND A RETAIL CLASS;DB5199Z9397076
30;TA;SHS Net Inflow/Outflow;EUR;18488.16;18488.16;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB5200;Z8719429;LHC;CHALLENGE INTERNATIONAL BOND HEDGED L FUND A RETAIL CLASS;DB5200Z9397076
32;TA;SHS Net Inflow/Outflow;EUR;-18184.47;-18184.47;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3014;Z8719429;LCA;US COLLECTION L FD A;DB3014Z8719429
33;TA;SHS Net Inflow/Outflow;EUR;212291.34;212291.34;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3018;Z8719429;LCA;EUROPEAN COLLECTION L FD A;DB3018Z8719429
34;TA;SHS Net Inflow/Outflow;EUR;-19749.6;-19749.6;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3017;Z8719429;LCA;PACIFIC COLLECTION L FD A;DB3017Z8719429
35;TA;SHS Net Inflow/Outflow;EUR;-23996.53;-23996.53;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3019;Z8719429;LCA;EMERGING MARKETS COLLECTION L FD A;DB3019Z8719429
